24072013,Gerardo,6
01092013,Estefania,84
12092014,Romina,1
13092014,Lorena,59
14092014,Beatriz,32
25092014,Juan,54
28092015,Pedro,62
10092016,Mariana,46
17092016,Sandra,84
21092016,Pablo,12
03092017,Adriana,36
19092017,Angelica,94
02092018,David,7
04092018,Roberto,50
06092018,Itzia,92
11092018,Carmen,37
15092018,Esteban,12
23092018,Jorge,13
26092018,Geronimo,67
04092019,Andres,76
08092019,Sebastian,49
12092019,Daniela,43
22092019,Ixchel,51
27092019,Fernando,91
16022020,Jose,34
05092020,Santiago,58
07092020,Claudia,28
09092020,Maximiliano,5
18092020,Sergio,66
20092020,Maria,10
